"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000000948",28.4509711047659,2.01486299344681,0.556985272418027,3.61744393114692,0.000297526755061351,0.00383641893322066,"Up-regulated"
"ENSMUSG00000025813",497.661588031542,1.29156999825262,0.168037094620472,7.68621952890675,1.51546383338551e-14,5.04511687077976e-12,"Up-regulated"
"ENSMUSG00000040583",53.5324893065487,-3.77268116240835,1.15289672982379,-3.272349608438,0.00106657598925357,0.0103055442550042,"Down-regulated"
"ENSMUSG00000040660",3485.70328285027,-2.22408064361354,0.474980400657298,-4.68246824613344,2.83441105638203e-06,8.33703878592046e-05,"Down-regulated"
"ENSMUSG00000074254",468.915324790123,-2.45826219380064,0.898634901099829,-2.73555165817843,0.00622758107036627,0.0399744117084685,"Down-regulated"
"ENSMUSG00000049685",38.8214179309754,1.57808786295929,0.553186158228007,2.85272478258368,0.00433461441559968,0.0304378868454957,"Up-regulated"
"ENSMUSG00000005547",48596.1141438816,0.959740859084199,0.191770577325794,5.00463038943519,5.59693168638568e-07,2.06255037913056e-05,"Up-regulated"
"ENSMUSG00000108487",66.3196516598022,0.852882814124799,0.306807542649292,2.779862602986,0.00543819022529399,0.036126353932021,"Up-regulated"
"ENSMUSG00000097016",30.3926801863753,1.66753475162779,0.566218886227092,2.94503555460528,0.00322917552974816,0.0243693782378934,"Up-regulated"
"ENSMUSG00000033429",1474.22352070215,-0.684453822890849,0.167397665481474,-4.08878953551834,4.33630059986995e-05,0.000812252316967967,"Down-regulated"
"ENSMUSG00000066513",54.1363993732859,-1.27591498906701,0.402757109561107,-3.16795149924827,0.00153517128949577,0.01371170063935,"Down-regulated"
"ENSMUSG00000030717",38.7306358961582,-1.82630161218996,0.518398134244643,-3.52297103625008,0.00042673799273574,0.00507374847207234,"Down-regulated"
"ENSMUSG00000030562",1410.77491462644,0.621000897576691,0.177891948129449,3.49088817176142,0.000481417711703575,0.00553337780880701,"Up-regulated"
"ENSMUSG00000078606",23.9447745366174,2.29104331038172,0.571774568396005,4.00689963670257,6.15209892566156e-05,0.00108312433970061,"Up-regulated"
"ENSMUSG00000045868",16.5931298560546,1.80048739204099,0.660037718431689,2.72785530548029,0.00637475638021274,0.040687333968347,"Up-regulated"
